"album_name","track_name","line","lyric"
"Taylor Swift","Stay Beautiful",9,"And don't you know"
"Taylor Swift","Stay Beautiful",10,"You're really gonna be someone"
"Taylor Swift","Stay Beautiful",11,"Ask anyone"
"Taylor Swift","Stay Beautiful",12,"And when you find everything you looked for"
"Taylor Swift","Stay Beautiful",13,"I hope your life will lead you back to my door"
"Taylor Swift","Stay Beautiful",14,"Oh, but if it don't"
"Taylor Swift","Stay Beautiful",15,"Stay beautiful"
"Taylor Swift","Stay Beautiful",16,"Corey finds another way to be the highlight of my day"
"Taylor Swift","Stay Beautiful",17,"I'm taking pictures in my mind so I can save them for a rainy day"
"Taylor Swift","Stay Beautiful",18,"It's hard to make a conversation when he's taking my breath away"
"Taylor Swift","Stay Beautiful",19,"I should say"
"Taylor Swift","Stay Beautiful",20,"Hey, by the way"
"Taylor Swift","Stay Beautiful",21,"You're beautiful"
"Taylor Swift","Stay Beautiful",22,"Every little piece, love"
"Taylor Swift","Stay Beautiful",23,"And don't you know"
"Taylor Swift","Stay Beautiful",24,"You're really gonna be someone"
"Taylor Swift","Stay Beautiful",25,"Ask anyone"
"Taylor Swift","Stay Beautiful",26,"And when you find everything you looked for"
"Taylor Swift","Stay Beautiful",27,"I hope your life will lead you back to my door"
"Taylor Swift","Stay Beautiful",28,"Oh, but if it don't"
"Taylor Swift","Stay Beautiful",29,"Stay beautiful"
"Taylor Swift","Stay Beautiful",30,"If you and I are a story"
"Taylor Swift","Stay Beautiful",31,"That never gets told"
"Taylor Swift","Stay Beautiful",32,"If what you are is a daydream"
"Taylor Swift","Stay Beautiful",33,"I'll never get to hold"
"Taylor Swift","Stay Beautiful",34,"At least you'll know"
"Taylor Swift","Stay Beautiful",35,"You're beautiful"
"Taylor Swift","Stay Beautiful",36,"Every little piece, love"
"Taylor Swift","Stay Beautiful",37,"And don't you know"
"Taylor Swift","Stay Beautiful",38,"You're really gonna be someone"
"Taylor Swift","Stay Beautiful",39,"Ask anyone"
"Taylor Swift","Stay Beautiful",40,"And when you find everything you looked for"
"Taylor Swift","Stay Beautiful",41,"I hope your life will lead you back to my front door"
"Taylor Swift","Stay Beautiful",42,"Oh, but if it don't"
"Taylor Swift","Stay Beautiful",43,"Will you stay"
"Taylor Swift","Stay Beautiful",44,"Beautiful, beautiful, beautiful?"
"Taylor Swift","Stay Beautiful",45,"Beautiful, beautiful, beautiful?"
"Taylor Swift","Stay Beautiful",46,"La la la"
"Taylor Swift","Stay Beautiful",47,"Oh, oh, oh, oh"
"Taylor Swift","Stay Beautiful",48,"Oh, but if it don't"
"Taylor Swift","Stay Beautiful",49,"Stay beautiful"
"Taylor Swift","Stay Beautiful",50,"Stay beautiful"
"Taylor Swift","Stay Beautiful",51,"Na, na, na, na, na"
"Taylor Swift","Should've Said No",1,"It's strange to think the songs we used to sing"
"Taylor Swift","Should've Said No",2,"The smiles, the flowers, everything is gone"
"Taylor Swift","Should've Said No",3,"Yesterday I found out about you"
"Taylor Swift","Should've Said No",4,"Even now just looking at you: feels wrong"
"Taylor Swift","Should've Said No",5,"You say that you'd take it all back, given one chance"
"Taylor Swift","Should've Said No",6,"It was a moment of weakness and you said, ""Yes"""
"Taylor Swift","Should've Said No",7,"You should've said, ""No"""
"Taylor Swift","Should've Said No",8,"You should've gone home"
"Taylor Swift","Should've Said No",9,"You should've thought twice 'fore you let it all go"
"Taylor Swift","Should've Said No",10,"You should've known that word, 'bout what you did with her'd"
"Taylor Swift","Should've Said No",11,"Get back to me (Get back to me)"
"Taylor Swift","Should've Said No",12,"And I should've been there, in the back of your mind"
"Taylor Swift","Should've Said No",13,"I shouldn't be asking myself, ""Why?"""
"Taylor Swift","Should've Said No",14,"You shouldn't be begging for forgiveness at my feet"
"Taylor Swift","Should've Said No",15,"You should've said no, baby, and you might still have me"
"Taylor Swift","Should've Said No",16,"You can see that I've been crying"
"Taylor Swift","Should've Said No",17,"Baby, you know all the right things to say"
"Taylor Swift","Should've Said No",18,"But do you honestly expect me to believe"
"Taylor Swift","Should've Said No",19,"We could ever be the same?"
"Taylor Swift","Should've Said No",20,"You say that the past is the past, you need one chance"
"Taylor Swift","Should've Said No",21,"It was a moment of weakness and you said, ""Yes"""
"Taylor Swift","Should've Said No",22,"You should've said, ""No"""
"Taylor Swift","Should've Said No",23,"You should've gone home"
"Taylor Swift","Should've Said No",24,"You should've thought twice 'fore you let it all go"
"Taylor Swift","Should've Said No",25,"You should've known that word, 'bout what you did with her'd"
"Taylor Swift","Should've Said No",26,"Get back to me (Get back to me)"
"Taylor Swift","Should've Said No",27,"And I should've been there, in the back of your mind"
"Taylor Swift","Should've Said No",28,"I shouldn't be asking myself, ""Why?"""
"Taylor Swift","Should've Said No",29,"You shouldn't be begging for forgiveness at my feet"
"Taylor Swift","Should've Said No",30,"You should've said no, baby, and you might still have me"
"Taylor Swift","Should've Said No",31,"I can't resist"
"Taylor Swift","Should've Said No",32,"Before you go tell me this"
"Taylor Swift","Should've Said No",33,"Was it worth it?"
"Taylor Swift","Should've Said No",34,"Was she worth this?"
"Taylor Swift","Should've Said No",35,"No no, no, no, no, no"
"Taylor Swift","Should've Said No",36,"You should've said, ""No"""
"Taylor Swift","Should've Said No",37,"You should've gone home"
"Taylor Swift","Should've Said No",38,"You should've thought twice 'fore you let it all go"
"Taylor Swift","Should've Said No",39,"You should've known that word, 'bout what you did with her'd"
"Taylor Swift","Should've Said No",40,"Get back to me (Get back to me)"
"Taylor Swift","Should've Said No",41,"And I should've been there, in the back of your mind"
"Taylor Swift","Should've Said No",42,"I shouldn't be asking myself, ""Why?"""
"Taylor Swift","Should've Said No",43,"You shouldn't be begging for forgiveness at my feet"
"Taylor Swift","Should've Said No",44,"You should've said no, baby, and you might still have me"
"Taylor Swift","Mary's Song (Oh My My My)",1,"She said, I was seven and you were nine"
"Taylor Swift","Mary's Song (Oh My My My)",2,"I looked at you like the stars that shined"
"Taylor Swift","Mary's Song (Oh My My My)",3,"In the sky, the pretty lights"
"Taylor Swift","Mary's Song (Oh My My My)",4,"And our daddies used to joke about the two of us"
"Taylor Swift","Mary's Song (Oh My My My)",5,"Growing up and falling in love and our mamas smiled"
"Taylor Swift","Mary's Song (Oh My My My)",6,"And rolled their eyes and said, ""Oh my, my, my"""
"Taylor Swift","Mary's Song (Oh My My My)",7,"Take me back to the house in the backyard tree"
"Taylor Swift","Mary's Song (Oh My My My)",8,"Said you'd beat me up, you were bigger than me"
"Taylor Swift","Mary's Song (Oh My My My)",9,"You never did, you never did"
"Taylor Swift","Mary's Song (Oh My My My)",10,"Take me back when our world was one block wide"
"Taylor Swift","Mary's Song (Oh My My My)",11,"I dared you to kiss me and ran when you tried"
"Taylor Swift","Mary's Song (Oh My My My)",12,"Just two kids, you and I"
"Taylor Swift","Mary's Song (Oh My My My)",13,"Oh my, my, my, my"
"Taylor Swift","Mary's Song (Oh My My My)",14,"Well, I was sixteen when suddenly"
"Taylor Swift","Mary's Song (Oh My My My)",15,"I wasn't that little girl you used to see"
"Taylor Swift","Mary's Song (Oh My My My)",16,"But your eyes still shined like pretty lights"
"Taylor Swift","Mary's Song (Oh My My My)",17,"And our daddies used to joke about the two of us"
"Taylor Swift","Mary's Song (Oh My My My)",18,"They never believed we'd really fall in love"
"Taylor Swift","Mary's Song (Oh My My My)",19,"And our mamas smiled and rolled their eyes"
"Taylor Swift","Mary's Song (Oh My My My)",20,"And said, ""Oh my, my, my"""
"Taylor Swift","Mary's Song (Oh My My My)",21,"Take me back to the creek beds we turned up"
